"nome_uf";"code_uf";"municipio_macro";"municipio_micro";"municipio_nome"
"Rondonia";"11";1100015;110001;"ALTA FLORESTA D'OESTE"
"Rondonia";"11";1100023;110002;"ARIQUEMES"
"Rondonia";"11";1100031;110003;"CABIXI"
"Rondonia";"11";1100049;110004;"CACOAL"
"Rondonia";"11";1100056;110005;"CEREJEIRAS"
"Rondonia";"11";1100064;110006;"COLORADO DO OESTE"
"Rondonia";"11";1100072;110007;"CORUMBIARA"
"Rondonia";"11";1100080;110008;"COSTA MARQUES"
"Rondonia";"11";1100098;110009;"ESPIGAO D'OESTE"
"Rondonia";"11";1100106;110010;"GUAJARA-MIRIM"
"Rondonia";"11";1100114;110011;"JARU"
"Rondonia";"11";1100122;110012;"JI-PARANA"
"Rondonia";"11";1100130;110013;"MACHADINHO D'OESTE"
"Rondonia";"11";1100148;110014;"NOVA BRASILANDIA D'OESTE"
"Rondonia";"11";1100155;110015;"OURO PRETO DO OESTE"
"Rondonia";"11";1100189;110018;"PIMENTA BUENO"
"Rondonia";"11";1100205;110020;"PORTO VELHO"
"Rondonia";"11";1100254;110025;"PRESIDENTE MEDICI"
"Rondonia";"11";1100262;110026;"RIO CRESPO"
"Rondonia";"11";1100288;110028;"ROLIM DE MOURA"
"Rondonia";"11";1100296;110029;"SANTA LUZIA D'OESTE"
"Rondonia";"11";1100304;110030;"VILHENA"
"Rondonia";"11";1100320;110032;"SAO MIGUEL DO GUAPORE"
"Rondonia";"11";1100338;110033;"NOVA MAMORE"
"Rondonia";"11";1100346;110034;"ALVORADA D'OESTE"
"Rondonia";"11";1100379;110037;"ALTO ALEGRE DOS PARECIS"
"Rondonia";"11";1100403;110040;"ALTO PARAISO"
"Rondonia";"11";1100452;110045;"BURITIS"
"Rondonia";"11";1100502;110050;"NOVO HORIZONTE DO OESTE"
"Rondonia";"11";1100601;110060;"CACAULANDIA"
"Rondonia";"11";1100700;110070;"CAMPO NOVO DE RONDONIA"
"Rondonia";"11";1100809;110080;"CANDEIAS DO JAMARI"
"Rondonia";"11";1100908;110090;"CASTANHEIRAS"
"Rondonia";"11";1100924;110092;"CHUPINGUAIA"
"Rondonia";"11";1100940;110094;"CUJUBIM"
"Rondonia";"11";1101005;110100;"GOVERNADOR JORGE TEIXEIRA"
"Rondonia";"11";1101104;110110;"ITAPUA DO OESTE"
"Rondonia";"11";1101203;110120;"MINISTRO ANDREAZZA"
"Rondonia";"11";1101302;110130;"MIRANTE DA SERRA"
"Rondonia";"11";1101401;110140;"MONTE NEGRO"
"Rondonia";"11";1101435;110143;"NOVA UNIAO"
"Rondonia";"11";1101450;110145;"PARECIS"
"Rondonia";"11";1101468;110146;"PIMENTEIRAS DO OESTE"
"Rondonia";"11";1101476;110147;"PRIMAVERA DE RONDONIA"
"Rondonia";"11";1101484;110148;"SAO FELIPE D'OESTE"
"Rondonia";"11";1101492;110149;"SAO FRANCISCO DO GUAPORE"
"Rondonia";"11";1101500;110150;"SERINGUEIRAS"
"Rondonia";"11";1101559;110155;"TEIXEIROPOLIS"
"Rondonia";"11";1101609;110160;"THEOBROMA"
"Rondonia";"11";1101708;110170;"URUPA"
"Rondonia";"11";1101757;110175;"VALE DO ANARI"
"Rondonia";"11";1101807;110180;"VALE DO PARAISO"
"Acre";"12";1200013;120001;"ACRELANDIA"
"Acre";"12";1200054;120005;"ASSIS BRASIL"
"Acre";"12";1200104;120010;"BRASILEIA"
"Acre";"12";1200138;120013;"BUJARI"
"Acre";"12";1200179;120017;"CAPIXABA"
"Acre";"12";1200203;120020;"CRUZEIRO DO SUL"
"Acre";"12";1200252;120025;"EPITACIOLANDIA"
"Acre";"12";1200302;120030;"FEIJO"
"Acre";"12";1200328;120032;"JORDAO"
"Acre";"12";1200336;120033;"MANCIO LIMA"
"Acre";"12";1200344;120034;"MANOEL URBANO"
"Acre";"12";1200351;120035;"MARECHAL THAUMATURGO"
"Acre";"12";1200385;120038;"PLACIDO DE CASTRO"
"Acre";"12";1200393;120039;"PORTO WALTER"
"Acre";"12";1200401;120040;"RIO BRANCO"
"Acre";"12";1200427;120042;"RODRIGUES ALVES"
"Acre";"12";1200435;120043;"SANTA ROSA DO PURUS"
"Acre";"12";1200450;120045;"SENADOR GUIOMARD"
"Acre";"12";1200500;120050;"SENA MADUREIRA"
"Acre";"12";1200609;120060;"TARAUACA"
"Acre";"12";1200708;120070;"XAPURI"
"Acre";"12";1200807;120080;"PORTO ACRE"
"Amazonas";"13";1300029;130002;"ALVARAES"
"Amazonas";"13";1300060;130006;"AMATURA"
"Amazonas";"13";1300086;130008;"ANAMA"
"Amazonas";"13";1300102;130010;"ANORI"
"Amazonas";"13";1300144;130014;"APUI"
"Amazonas";"13";1300201;130020;"ATALAIA DO NORTE"
"Amazonas";"13";1300300;130030;"AUTAZES"
"Amazonas";"13";1300409;130040;"BARCELOS"
"Amazonas";"13";1300508;130050;"BARREIRINHA"
"Amazonas";"13";1300607;130060;"BENJAMIN CONSTANT"
"Amazonas";"13";1300631;130063;"BERURI"
"Amazonas";"13";1300680;130068;"BOA VISTA DO RAMOS"
"Amazonas";"13";1300706;130070;"BOCA DO ACRE"
"Amazonas";"13";1300805;130080;"BORBA"
"Amazonas";"13";1300839;130083;"CAAPIRANGA"
"Amazonas";"13";1300904;130090;"CANUTAMA"
"Amazonas";"13";1301001;130100;"CARAUARI"
"Amazonas";"13";1301100;130110;"CAREIRO"
"Amazonas";"13";1301159;130115;"CAREIRO DA VARZEA"
"Amazonas";"13";1301209;130120;"COARI"
"Amazonas";"13";1301308;130130;"CODAJAS"
"Amazonas";"13";1301407;130140;"EIRUNEPE"
"Amazonas";"13";1301506;130150;"ENVIRA"
"Amazonas";"13";1301605;130160;"FONTE BOA"
"Amazonas";"13";1301654;130165;"GUAJARA"
"Amazonas";"13";1301704;130170;"HUMAITA"
"Amazonas";"13";1301803;130180;"IPIXUNA"
"Amazonas";"13";1301852;130185;"IRANDUBA"
"Amazonas";"13";1301902;130190;"ITACOATIARA"
"Amazonas";"13";1301951;130195;"ITAMARATI"
"Amazonas";"13";1302009;130200;"ITAPIRANGA"
"Amazonas";"13";1302108;130210;"JAPURA"
"Amazonas";"13";1302207;130220;"JURUA"
"Amazonas";"13";1302306;130230;"JUTAI"
"Amazonas";"13";1302405;130240;"LABREA"
"Amazonas";"13";1302504;130250;"MANACAPURU"
"Amazonas";"13";1302553;130255;"MANAQUIRI"
"Amazonas";"13";1302603;130260;"MANAUS"
"Amazonas";"13";1302702;130270;"MANICORE"
"Amazonas";"13";1302801;130280;"MARAA"
"Amazonas";"13";1302900;130290;"MAUES"
"Amazonas";"13";1303007;130300;"NHAMUNDA"
"Amazonas";"13";1303106;130310;"NOVA OLINDA DO NORTE"
"Amazonas";"13";1303205;130320;"NOVO AIRAO"
"Amazonas";"13";1303304;130330;"NOVO ARIPUANA"
"Amazonas";"13";1303403;130340;"PARINTINS"
"Amazonas";"13";1303502;130350;"PAUINI"
"Amazonas";"13";1303536;130353;"PRESIDENTE FIGUEIREDO"
"Amazonas";"13";1303569;130356;"RIO PRETO DA EVA"
"Amazonas";"13";1303601;130360;"SANTA ISABEL DO RIO NEGRO"
"Amazonas";"13";1303700;130370;"SANTO ANTONIO DO ICA"
"Amazonas";"13";1303809;130380;"SAO GABRIEL DA CACHOEIRA"
"Amazonas";"13";1303908;130390;"SAO PAULO DE OLIVENCA"
"Amazonas";"13";1303957;130395;"SAO SEBASTIAO DO UATUMA"
