"UF";"Nome_UF";"Mesorregiao Geografica";"Nome_Mesorregiao";"Microrregiao Geografica";"Nome_Microrregiao";"Municipio";"Codigo Municipio Completo";"Nome_Municipio"
"11";"Rondonia";"02";"Leste Rondoniense";"006";"Cacoal";"00015";"1100015";"Alta Floresta D'Oeste"
"11";"Rondonia";"02";"Leste Rondoniense";"006";"Cacoal";"00379";"1100379";"Alto Alegre dos Parecis"
"11";"Rondonia";"02";"Leste Rondoniense";"003";"Ariquemes";"00403";"1100403";"Alto Paraiso"
"11";"Rondonia";"02";"Leste Rondoniense";"005";"Alvorada D'Oeste";"00346";"1100346";"Alvorada D'Oeste"
"11";"Rondonia";"02";"Leste Rondoniense";"003";"Ariquemes";"00023";"1100023";"Ariquemes"
"11";"Rondonia";"01";"Madeira-Guapore";"001";"Porto Velho";"00452";"1100452";"Buritis"
"11";"Rondonia";"02";"Leste Rondoniense";"008";"Colorado do Oeste";"00031";"1100031";"Cabixi"
"11";"Rondonia";"02";"Leste Rondoniense";"003";"Ariquemes";"00601";"1100601";"Cacaulandia"
"11";"Rondonia";"02";"Leste Rondoniense";"006";"Cacoal";"00049";"1100049";"Cacoal"
"11";"Rondonia";"01";"Madeira-Guapore";"001";"Porto Velho";"00700";"1100700";"Campo Novo de Rondonia"
"11";"Rondonia";"01";"Madeira-Guapore";"001";"Porto Velho";"00809";"1100809";"Candeias do Jamari"
"11";"Rondonia";"02";"Leste Rondoniense";"006";"Cacoal";"00908";"1100908";"Castanheiras"
"11";"Rondonia";"02";"Leste Rondoniense";"008";"Colorado do Oeste";"00056";"1100056";"Cerejeiras"
"11";"Rondonia";"02";"Leste Rondoniense";"007";"Vilhena";"00924";"1100924";"Chupinguaia"
"11";"Rondonia";"02";"Leste Rondoniense";"008";"Colorado do Oeste";"00064";"1100064";"Colorado do Oeste"
"11";"Rondonia";"02";"Leste Rondoniense";"008";"Colorado do Oeste";"00072";"1100072";"Corumbiara"
"11";"Rondonia";"01";"Madeira-Guapore";"002";"Guajara-Mirim";"00080";"1100080";"Costa Marques"
"11";"Rondonia";"01";"Madeira-Guapore";"001";"Porto Velho";"00940";"1100940";"Cujubim"
"11";"Rondonia";"02";"Leste Rondoniense";"006";"Cacoal";"00098";"1100098";"Espigao D'Oeste"
"11";"Rondonia";"02";"Leste Rondoniense";"004";"Ji-Parana";"01005";"1101005";"Governador Jorge Teixeira"
"11";"Rondonia";"01";"Madeira-Guapore";"002";"Guajara-Mirim";"00106";"1100106";"Guajara-Mirim"
"11";"Rondonia";"01";"Madeira-Guapore";"001";"Porto Velho";"01104";"1101104";"Itapua do Oeste"
"11";"Rondonia";"02";"Leste Rondoniense";"004";"Ji-Parana";"00114";"1100114";"Jaru"
"11";"Rondonia";"02";"Leste Rondoniense";"004";"Ji-Parana";"00122";"1100122";"Ji-Parana"
